slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,dual_decomposition_ev_load_kw,offline_admm_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4089258085048858,30.00000061925505,29.97571827422046,195.76965439706493,162.46965374065456,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.46268449153798263,30.10266321047052,25.723173351446995,195.76965439706493,162.36083139396618,17.6,17.6,0.0,0.0,6.369871913400117,17.599970789327415
2,1.0,0.44859503003680234,30.40889385576631,36.13364649799129,195.76965439706493,162.03622690995263,17.6,17.6,11.0,11.0,9.187764213636196,17.599968683632994
3,1.5,0.460531613393173,30.913454581803283,35.81283782893079,195.76965439706493,161.50139254035344,24.799999999999997,24.799999999999997,6.203799120874495,6.2037991208745025,11.015484967838352,24.799984962458268
4,2.0,0.42623412233934327,31.607715984434424,30.033170909704662,195.76965439706493,160.76547545356442,20.927554103995792,20.927554103995792,24.799999999999997,24.799999999999997,20.859945753128038,20.927516160109132
5,2.5,0.43589584037414697,32.47980711009322,35.14131013445873,195.76965439706493,159.8410588603661,18.2,18.2,24.799999999999997,24.799999999999997,18.406216873545947,18.199992654279296
6,3.0,0.4303014603525988,33.51482297205025,34.8443127628805,195.76965439706493,158.74394204669167,10.523799120874497,10.523799120874497,24.799999999999997,24.799999999999997,20.04647815047695,10.523858416292121
7,3.5,0.438818509176484,34.69508799991182,25.334088270467973,195.76965439706493,157.49286111715838,2.8799999999999986,2.8799999999999986,20.927554103995796,20.927554103995796,17.529416232845037,2.8800615587710725
8,4.0,0.47605052112666085,36.00047408514821,36.916937947323035,195.76965439706493,156.10915186680785,0.0,0.0,0.0,0.0,3.845268998952647,0.0
9,4.5,0.4681793204997483,37.408772997167276,37.179068471985275,195.76965439706493,154.61635502006763,6.6,6.6,6.6,6.6,11.870906121047003,6.599998274933375
10,5.0,0.521244635708049,38.896125006931236,39.21516099215251,195.76965439706493,153.0397618897178,13.2,13.2,13.2,13.2,13.2,13.19994882800157
11,5.5,0.5537982132425858,40.43750868782824,36.20942797251452,195.76965439706493,151.40589518796696,13.2,13.2,13.2,13.2,13.2,13.19994674373945
12,6.0,0.6355067628446415,42.00730096597073,40.924407850547574,195.76965439706493,149.74191537313595,13.2,7.417137603831161,13.2,13.2,10.569458485563121,13.199943989207698
13,6.5,0.5918988297282997,43.57992104663645,42.84642273151871,195.76965439706493,148.07493808763027,13.2,7.417137603831161,13.2,13.2,13.2,13.199942173853323
14,7.0,0.6865662877972031,45.13057567782443,50.12987956258008,195.76965439706493,146.43124417857103,20.4,11.944161568272353,5.562143786647151,5.562143786647151,4.8838513222227755,20.399954330756067
15,7.5,0.6885463206628357,46.63612428312431,48.07354779083295,195.76965439706493,144.83536265695315,17.92054872368738,11.944161568272353,0.0,0.0,4.487844749096295,17.920642981283102
16,8.0,0.7001353612155393,48.07607781242106,48.05172142326065,195.76965439706493,143.3090119158986,13.8,11.944161568272353,0.0,0.0,2.170036638555507,13.800003634075402
17,8.5,0.6552266310317532,49.433731000670534,56.262147492626454,195.76965439706493,141.86989953635415,25.362143786647145,19.199515565745287,13.616287424302644,13.61628742430262,17.384362596308378,25.36214725956357
18,9.0,0.6544848880777898,50.697400342677845,48.175550852952135,195.76965439706493,140.53041003382643,34.199999999999996,31.337166680649837,20.4,20.4,22.77963382094276,34.19987599459076
19,9.5,0.6483816216100315,51.86169699878106,50.06576055305258,195.76965439706493,139.29625557835698,47.16788939145081,40.26664945791457,35.93835010333657,35.93835010333657,26.441593701597547,47.16789958087882
20,10.0,0.5882755788876607,52.92870565685288,44.43406366509764,195.76965439706493,138.16522640080086,49.800000000000004,43.898568435091185,34.488,34.48800000000001,38.216328028858484,49.79981155616682
21,10.5,0.5566031420553642,53.9088728640776,61.33785528815807,195.76965439706493,137.12624916114265,64.2,50.17721733327168,43.7258910936024,43.72589109360241,45.36696164659972,64.1995469213881
22,11.0,0.5202891531680919,54.821344056924225,59.439802401736785,195.76965439706493,136.15902969672524,60.16749407027255,75.5592988567548,56.400000000000006,56.400000000000006,62.174541683525376,60.167398952419234
23,11.5,0.5407811934164085,55.69344701401885,60.13246476000159,195.76965439706493,135.23460056220495,60.20341351679805,80.35818686448162,49.800000000000004,49.800000000000004,47.008876332306194,60.203279684351294
